"","FTSE","N225","GDAXI","DJI","FCHI","KS11","AEX","SSMI","IBEX","NSEI","MXX","STOXX50E","mean"
"Garch",9,8,8,12,7,5,1,10,13,5,6,6,8
"EGarch",1,6,13,2,8,14,5,1,7,1,1,10,5
"RGarch_rvs",3,7,4,8,3,2,6,5,2,7,5,3,2.5
"RGarch_bvs",2,3,7,6,6,3,9,8,1,4,2,4,2.5
"RGarch_rk",4,12,6,11,4,7,10,4,5,8,3,1,7
"RW_rvs",13,2,12,14,14,11,12,13,11,14,14,13,13
"RW_bvs",12,1,2,9,12,10,13,12,4,2,11,8,9.5
"RW_rk",14,14,10,13,13,9,14,14,14,13,13,14,14
"MA_rvs",10,9,11,10,11,13,7,7,10,12,12,12,11
"MA_bvs",7,10,9,4,9,12,8,6,8,6,10,7,9.5
"MA_rk",11,13,14,5,10,8,11,11,12,11,8,11,12
"EW_rvs",8,5,5,7,5,4,2,3,6,10,9,9,6
"EW_bvs",5,4,1,1,2,6,3,2,3,3,7,2,1
"EW_rk",6,11,3,3,1,1,4,9,9,9,4,5,4
